Attractive,Oval_Face,Pale_Skin,Young,Big_Nose,5_o_Clock_Shadow,Bags_Under_Eyes,Narrow_Eyes,Arched_Eyebrows,Big_Lips,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,High_Cheekbones,Rosy_Cheeks,onehot,count
0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0001101000100010,212
1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1101000011000000,211
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0000101000100000,211
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0000001000000110,210
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1100000000000010,210
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1001100000000000,208
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1100000000001010,206
1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1001111000100000,205
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1011000000010000,204
0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0001000001100010,204
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0011000000000000,204
1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1001100000100000,203
1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1001001000100010,202
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000101001000000,202
1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1011000011000000,201
1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1001000011000011,200
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1001000111000010,198
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0100000000001010,197
1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1001000011001011,197
0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0001000010100010,195
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1001000000010011,193
1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1101000001100010,193
0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0000101000100010,193
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000000000000,193
1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1001011000001000,193
0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0001101011100010,189
1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1101001000000010,189
0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0000101001000010,188
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1101010000001000,187
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0001000011001000,186
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1000000000010010,185
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1000000000000010,185
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0101100000000010,185
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0000100000100010,185
0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0001000011100010,184
0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0101100000100010,183
1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1101001000001010,183
1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1101000011100011,181
1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1001111000000000,180
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0001000010010010,180
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0001011000001000,179
1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1101000011100000,179
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0101100001000000,178
1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1001001010000010,177
1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1011000001000000,177
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1100000000010010,176
0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0101100001100000,175
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1001000101000000,174
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0100000000100010,173
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0001000100000010,173
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0000000001000000,172
0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0101001000000010,169
1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1001000011100011,169
0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0001000010001010,169
1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1011000010010000,168
0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0001101001100010,167
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0001001000001010,166
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1001000010001011,166
1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1001100011100010,165
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1001000111100000,165
1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1101000001100000,165
1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1101000000011010,164
1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1001101000000010,164
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1000000010010010,162
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0001000011010000,162
1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1011000000001000,162
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0100001000000010,161
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1001001000010010,161
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0101100000000000,160
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1000000000001010,160
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0000100001100000,159
1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1101100000100010,157
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1001000000000011,157
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1011000000100000,157
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0001001000100010,157
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0000011000000000,157
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0000100001000010,156
1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1101001000100010,156
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1001110000000000,153
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0000100100000000,153
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100101000000000,152
1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1001001010010010,151
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1101000001001000,150
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0000101000001000,148
1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1101000000101010,148
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0001011000100000,148
0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0100101000000110,147
0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0001101001000010,146
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1001000000001011,146
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0001000100010000,146
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1001000110000000,145
1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1001100000100010,143
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0100000000010010,143
0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0001010001100000,143
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0000101000001010,143
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0000001000001000,142
1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1001000111010010,142
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0000000010000000,140
1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1001001010001010,140
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0100001000000000,139
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1001000100001000,139
1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1101000011010000,138
1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1101000001000000,137
1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1101010000100010,137
1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1001101000100010,137
1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1001000111100010,136
1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1001100000000010,136
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0100000000000100,134
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0000100000001000,134
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0100000000001000,133
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0001100000001000,133
0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0001000111000000,133
1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1001100010100010,132
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0001000101100000,130
1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1101100000000010,130
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0000001000100000,129
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1001000111001010,129
1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1101000001001010,129
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0001000110000000,129
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0001010001000000,128
0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0100100000000110,128
0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0000111000000010,127
0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0000101010000010,127
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0001000011000010,126
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0000000010010010,126
0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0001111000000010,125
1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1001010000100010,124
1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1001101000100000,124
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0001101001000000,124
0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0001110001100000,124
1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1001101010000010,123
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0100000000000110,123
1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1001000101010010,123
0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0001111000100010,123
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0000001100000000,122
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0001110001000000,122
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0000010000001000,122
1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1001100010000010,122
1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1101000100100010,122
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0001010100000000,121
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0101000001100010,121
1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1001000111010000,120
0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0101100000100000,120
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0101000001100000,120
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1111000000000000,119
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0000000010000010,119
0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0001100011100000,118
1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1101000100000010,117
0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0001000011001010,116
0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0101000010100010,116
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0001000001001010,116
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1001000010100011,116
1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1001111000100010,114
0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0101101000000010,113
1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1011000001010000,112
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1000000010010011,112
1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1001000101010000,112
1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1101000001000010,110
1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1011000011010000,109
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1001101000000000,109
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1001000100001010,109
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0101000100000000,109
0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0000101001100010,108
1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1001000100010000,107
1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1001000100000010,107
1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1001101000001010,107
0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0101101001000010,106
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1000000010000010,106
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0000000100000010,106
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0000001000001010,105
1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1001001011000010,105
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0000010000100000,105
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0000101001000100,104
0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0001100011000010,104
1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1001001011001010,104
0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0101001000001010,104
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1101000001010000,104
1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1101000100001010,104
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0000100000001010,103
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0001000101001000,103
0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0001101001100000,103
1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1011000010001000,103
1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1101100000100000,103
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0100100000000100,102
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1001010000000010,102
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1001000111001000,101
